Image_ID,class,confidence,ymin,xmin,ymax,xmax
id_w8xnbd5rvm.jpg,Trophozoite,1.0,925,1744,1041,1823
id_ytq3slqkjm.jpg,Trophozoite,1.0,108,768,148,800
id_e20xnaq5qn.jpg,Trophozoite,1.0,849,1358,904,1409
id_7fc9zyfy0e.jpg,Trophozoite,1.0,907,3149,1005,3242
id_ytq3slqkjm.jpg,Trophozoite,1.0,976,834,1014,872
id_ytq3slqkjm.jpg,Trophozoite,1.0,450,1424,492,1462
id_6g52lmvz2y.jpg,WBC,1.0,518,193,579,244
id_z0i61ad0tq.jpg,Trophozoite,1.0,970,463,1000,491
id_55a6sf8hbe.jpg,WBC,1.0,742,1417,808,1483
id_dg0icorzno.jpg,Trophozoite,1.0,783,560,821,594
id_zdg96srigj.jpg,Trophozoite,1.0,115,785,151,817
id_ezd6x40fd0.jpg,WBC,1.0,463,1137,531,1222
id_ch6r0g46fr.jpg,WBC,1.0,1559,2653,1744,2801
id_4cotsn0obm.jpg,Trophozoite,1.0,295,1173,323,1205
id_0fdars2kkw.jpg,Trophozoite,1.0,706,1107,750,1149
id_4wkzpeu6or.jpg,Trophozoite,1.0,1342,481,1469,597
id_idjqlz4ppb.jpg,WBC,1.0,502,3477,666,3636
id_by6e6shi2z.jpg,WBC,1.0,11,340,75,397
id_unbxbat1t9.jpg,Trophozoite,1.0,431,1095,459,1127
id_i5tsin8ztt.jpg,WBC,1.0,178,1112,252,1195
id_wij48tbsif.jpg,Trophozoite,1.0,712,726,796,803
id_i7nitsscaw.jpg,WBC,1.0,753,1292,827,1381
id_fe3rxq4495.jpg,Trophozoite,1.0,628,893,677,927
id_by6e6shi2z.jpg,Trophozoite,1.0,183,1144,221,1178
id_du9knnffo5.jpg,Trophozoite,1.0,1554,296,1660,412
id_by6e6shi2z.jpg,WBC,1.0,951,416,1015,484
id_beb4eptdn4.jpg,WBC,1.0,757,1116,825,1177
id_zg9jc73sf7.jpg,Trophozoite,1.0,533,1695,569,1737
id_v2jm47dges.jpg,WBC,1.0,558,494,609,562
id_q5zllac1n2.jpg,Trophozoite,1.0,1124,1154,1200,1246
id_4fq8jiwxl0.jpg,WBC,1.0,2515,1131,2748,1348
id_i20oi7qcal.jpg,Trophozoite,1.0,723,1332,768,1362
id_087dra2apu.jpg,Trophozoite,1.0,2252,2206,2354,2318
id_021o79u9zs.jpg,WBC,1.0,15,478,86,538
id_by6e6shi2z.jpg,Trophozoite,1.0,282,1012,327,1052
id_ytq3slqkjm.jpg,Trophozoite,1.0,316,1370,350,1404
id_nx12u001w3.jpg,Trophozoite,1.0,359,1322,408,1352
id_v2jm47dges.jpg,WBC,1.0,140,742,193,789
id_jiezf5gtsi.jpg,Trophozoite,1.0,1982,3593,2135,3730
id_087dra2apu.jpg,Trophozoite,1.0,1363,3544,1460,3625
id_ermxdswvwt.jpg,Trophozoite,1.0,439,2299,550,2405
id_4urj0kx8zk.jpg,Trophozoite,1.0,264,719,364,814
id_vukb9kjcto.jpg,WBC,1.0,798,1430,855,1496
id_6ujuefpy4m.jpg,Trophozoite,1.0,132,800,162,830
id_ukfbjar9g0.jpg,Trophozoite,1.0,2225,1711,2362,1826
id_et97dmccl6.jpg,Trophozoite,1.0,2400,3226,2505,3331
id_qicgns95fp.jpg,Trophozoite,1.0,110,1617,151,1662
id_ohdqwwlnpv.jpg,WBC,1.0,191,516,261,578
id_jrppxrh1it.jpg,WBC,1.0,624,1400,692,1468
id_15rb0dgq66.jpg,Trophozoite,1.0,849,696,879,728
id_ch6r0g46fr.jpg,Trophozoite,1.0,1638,481,1738,581
id_jl93f5rtzc.jpg,Trophozoite,1.0,373,519,403,550
id_by6e6shi2z.jpg,WBC,1.0,189,392,259,464
id_jl93f5rtzc.jpg,Trophozoite,1.0,96,1492,124,1522
id_syl8z4yeda.jpg,Trophozoite,1.0,1699,1998,1799,2091
id_zbnnf2a6el.jpg,Trophozoite,1.0,90,858,116,889
id_z0i61ad0tq.jpg,Trophozoite,1.0,91,1133,129,1167
id_87rt6lehbn.jpg,Trophozoite,1.0,1390,1194,1485,1279
id_7n0g3j6gzk.jpg,Trophozoite,1.0,799,1004,827,1034
id_ji4eef7ytj.jpg,NEG,1.0,0,0,0,0
id_1zdxw0y038.jpg,WBC,1.0,793,1260,884,1332
id_qa70t0m4yc.jpg,Trophozoite,1.0,2787,1820,2843,1898
id_qicgns95fp.jpg,Trophozoite,1.0,96,851,135,894
id_ch6r0g46fr.jpg,Trophozoite,1.0,1052,2547,1179,2663
id_ctkvvkc84k.jpg,WBC,1.0,840,881,906,942
id_6x0d145kam.jpg,Trophozoite,1.0,997,3038,1072,3129
id_rm1127enb2.jpg,NEG,1.0,0,0,0,0
id_hxi5z1l5e7.jpg,Trophozoite,1.0,460,1665,496,1701
id_zk5f24dvrh.jpg,WBC,1.0,231,1440,293,1502
id_r4f1nwo0bw.jpg,WBC,1.0,308,706,365,757
id_yxd1bn2bnt.jpg,WBC,1.0,509,1201,579,1258
id_qa70t0m4yc.jpg,Trophozoite,1.0,2875,1383,2977,1471
id_qa70t0m4yc.jpg,Trophozoite,1.0,2254,2639,2317,2731
id_bkc1sypwhe.jpg,Trophozoite,1.0,2679,904,2758,994
id_z0i61ad0tq.jpg,Trophozoite,1.0,719,1016,755,1046
id_ndhdv3wuvg.jpg,Trophozoite,1.0,96,1545,140,1581
id_wc1se79we4.jpg,WBC,1.0,804,488,872,558
id_147gpcegp6.jpg,Trophozoite,1.0,842,962,940,1082
id_1a6j7t0nuk.jpg,Trophozoite,1.0,279,405,377,525
id_1cvkxwzx4d.jpg,WBC,1.0,1548,143,1744,344
id_013o32svbt.jpg,NEG,1.0,0,0,0,0
id_x7nd051hom.jpg,Trophozoite,1.0,2356,1331,2428,1418
id_beb4eptdn4.jpg,Trophozoite,1.0,34,847,68,879
id_7fc9zyfy0e.jpg,Trophozoite,1.0,1296,733,1449,875
id_z0i61ad0tq.jpg,WBC,1.0,409,1801,507,1860
id_wij48tbsif.jpg,WBC,1.0,16,333,227,523
id_dtffc5i3ry.jpg,WBC,1.0,253,583,314,647
id_qk46xf80l5.jpg,Trophozoite,1.0,320,600,360,638
id_o0s626fwo8.jpg,Trophozoite,1.0,520,647,571,698
id_ezd6x40fd0.jpg,Trophozoite,1.0,719,1670,749,1695
id_v2jm47dges.jpg,Trophozoite,1.0,759,1147,800,1188
id_x7nd051hom.jpg,Trophozoite,1.0,1049,1291,1132,1390
id_k4ly4467l9.jpg,WBC,1.0,908,1300,972,1361
id_a0t3sx8hn0.jpg,WBC,1.0,835,2325,978,2468
id_u0ixesq8l0.jpg,Trophozoite,1.0,1385,555,1485,640
id_ilmjjeqpcy.jpg,WBC,1.0,2325,2595,2526,2791
id_wmytvl7d4d.jpg,Trophozoite,1.0,915,1627,996,1713
id_hxh24buc7k.jpg,WBC,1.0,371,416,443,499
id_e5cvk28krq.jpg,Trophozoite,1.0,694,1930,820,2056
id_0fdars2kkw.jpg,Trophozoite,1.0,284,1445,314,1477
id_i7nitsscaw.jpg,Trophozoite,1.0,791,1667,831,1720
id_4svm2mbojb.jpg,Trophozoite,1.0,344,1438,453,1558
id_ilmjjeqpcy.jpg,Trophozoite,1.0,1300,698,1416,783
id_kbanzvtryi.jpg,Trophozoite,1.0,1062,3042,1167,3153
id_qk46xf80l5.jpg,WBC,1.0,325,263,380,316
id_qicgns95fp.jpg,Trophozoite,1.0,912,1339,957,1376
id_a36aomg01d.jpg,WBC,1.0,1021,908,1076,978
id_i7nitsscaw.jpg,Trophozoite,1.0,787,1678,823,1712
id_zg9jc73sf7.jpg,Trophozoite,1.0,26,636,52,659
id_5rwv5nd2tq.jpg,Trophozoite,1.0,2283,1538,2399,1644
id_zk5f24dvrh.jpg,WBC,1.0,486,146,558,210
id_i7nitsscaw.jpg,WBC,1.0,231,1740,295,1808
id_ezd6x40fd0.jpg,Trophozoite,1.0,596,781,624,817
id_by6e6shi2z.jpg,Trophozoite,1.0,399,450,435,497
id_ch6r0g46fr.jpg,Trophozoite,1.0,645,1813,751,1898
id_d15oygh6d0.jpg,WBC,1.0,157,1143,212,1217
id_906gshebg5.jpg,Trophozoite,1.0,448,1481,478,1513
id_7bbze5cgwz.jpg,NEG,1.0,0,0,0,0
id_jl93f5rtzc.jpg,WBC,1.0,416,602,471,657
id_syl8z4yeda.jpg,WBC,1.0,1532,285,1743,475
id_7yurhvqp72.jpg,Trophozoite,1.0,462,880,502,920
id_ndhdv3wuvg.jpg,Trophozoite,1.0,426,677,458,709
id_4wkzpeu6or.jpg,Trophozoite,1.0,444,1596,560,1675
id_qk46xf80l5.jpg,WBC,1.0,450,1052,512,1114
id_ezd6x40fd0.jpg,Trophozoite,1.0,895,1124,927,1166
id_15rb0dgq66.jpg,Trophozoite,1.0,473,723,499,755
id_du9knnffo5.jpg,Trophozoite,1.0,1939,201,2071,328
id_3ntywh3ikt.jpg,NEG,1.0,0,0,0,0
id_qicgns95fp.jpg,Trophozoite,1.0,207,969,240,1006
id_ngdidsmt6o.jpg,Trophozoite,1.0,539,1388,577,1445
id_du9knnffo5.jpg,Trophozoite,1.0,1834,3292,1945,3414
id_49n2r2g61a.jpg,WBC,1.0,1464,1850,1612,1993
id_ngdidsmt6o.jpg,WBC,1.0,734,1436,798,1508
id_021o79u9zs.jpg,WBC,1.0,1020,928,1070,999
id_3xidcn77dw.jpg,WBC,1.0,603,1604,660,1655
id_t4ahof8989.jpg,WBC,1.0,2071,2140,2240,2346
id_z0i61ad0tq.jpg,Trophozoite,1.0,34,613,60,641
id_ezd6x40fd0.jpg,Trophozoite,1.0,221,687,261,710
id_qpb79mu7tz.jpg,Trophozoite,1.0,190,1918,333,2040
id_w19x86t1oj.jpg,WBC,1.0,182,1226,254,1307
id_j0zahs4ik5.jpg,Trophozoite,1.0,172,1262,203,1293
id_ezd6x40fd0.jpg,Trophozoite,1.0,322,617,360,645
id_k4ly4467l9.jpg,WBC,1.0,153,617,221,695
id_1hbw0l10vq.jpg,Trophozoite,1.0,880,560,1006,646
id_c36hkm2atp.jpg,WBC,1.0,446,1585,520,1664
id_kyre63f2tm.jpg,Trophozoite,1.0,878,755,956,836
id_i20oi7qcal.jpg,Trophozoite,1.0,305,1318,349,1354
id_qk46xf80l5.jpg,Trophozoite,1.0,216,547,254,587
id_c6hmbeixdl.jpg,WBC,1.0,866,677,953,747
id_idjqlz4ppb.jpg,WBC,1.0,1633,3070,1834,3250
id_zk5f24dvrh.jpg,Trophozoite,1.0,776,655,818,693
id_a36aomg01d.jpg,Trophozoite,1.0,522,1350,561,1381
id_ch6r0g46fr.jpg,WBC,1.0,2663,3012,2785,3181
id_8oi9oz3jlb.jpg,WBC,1.0,201,1103,290,1182
id_ilmjjeqpcy.jpg,Trophozoite,1.0,1119,3513,1231,3615
id_ch6r0g46fr.jpg,Trophozoite,1.0,1443,1110,1543,1195
id_unbxbat1t9.jpg,Trophozoite,1.0,602,480,628,512
id_htd8yeuu1d.jpg,Trophozoite,1.0,1432,3395,1541,3515
id_wtp7vfwf0j.jpg,WBC,1.0,864,358,938,417
id_0fdars2kkw.jpg,Trophozoite,1.0,687,1458,727,1498
id_ermxdswvwt.jpg,WBC,1.0,428,3107,592,3266
id_yxd1bn2bnt.jpg,Trophozoite,1.0,866,1084,894,1116
id_vy2vkz5r7x.jpg,Trophozoite,1.0,1733,2653,1886,2748
id_ctkvvkc84k.jpg,Trophozoite,1.0,286,431,318,478
id_15rb0dgq66.jpg,Trophozoite,1.0,297,409,329,443
id_du9knnffo5.jpg,Trophozoite,1.0,682,1126,798,1248
id_byo00s7ha5.jpg,Trophozoite,1.0,301,264,412,364
id_1d572clvxz.jpg,WBC,1.0,953,1587,1017,1648
id_q18tfhfneh.jpg,WBC,1.0,371,354,422,416
id_ohdqwwlnpv.jpg,Trophozoite,1.0,881,590,915,628
id_r4f1nwo0bw.jpg,Trophozoite,1.0,236,1241,266,1273
id_zdg96srigj.jpg,Trophozoite,1.0,450,1120,486,1148
id_0fdars2kkw.jpg,Trophozoite,1.0,846,586,878,620
id_wv8ze1pfbz.jpg,WBC,1.0,131,503,201,594
id_0nm5i3vtg9.jpg,WBC,1.0,777,1341,853,1407
id_zk5f24dvrh.jpg,WBC,1.0,259,810,321,878
id_j0zahs4ik5.jpg,Trophozoite,1.0,775,1376,806,1403
id_gyoporclq9.jpg,WBC,1.0,276,781,357,853
id_wy8p0eu51i.jpg,Trophozoite,1.0,375,897,403,927
id_i5tsin8ztt.jpg,Trophozoite,1.0,331,454,358,487
id_jl93f5rtzc.jpg,Trophozoite,1.0,85,1067,122,1093
id_ezd6x40fd0.jpg,Trophozoite,1.0,914,1056,944,1084
id_q18tfhfneh.jpg,WBC,1.0,647,993,704,1042
id_zk5f24dvrh.jpg,WBC,1.0,586,851,652,913
id_6g52lmvz2y.jpg,WBC,1.0,951,1455,1023,1529
id_w19x86t1oj.jpg,WBC,1.0,44,1462,110,1545
id_taz7z5iuzk.jpg,WBC,1.0,74,980,140,1058
id_qk46xf80l5.jpg,Trophozoite,1.0,779,1131,815,1163
id_021o79u9zs.jpg,WBC,1.0,105,510,170,575
id_4cotsn0obm.jpg,WBC,1.0,1006,1436,1072,1519
id_ytq3slqkjm.jpg,Trophozoite,1.0,700,997,738,1031
id_xmq3awiu9f.jpg,Trophozoite,1.0,754,3400,896,3509
id_t4ahof8989.jpg,Trophozoite,1.0,2172,2452,2288,2542
id_qicgns95fp.jpg,Trophozoite,1.0,603,1550,636,1581
id_qa70t0m4yc.jpg,WBC,1.0,999,491,1205,665
id_i7nitsscaw.jpg,WBC,1.0,987,1549,1061,1625
id_vy2vkz5r7x.jpg,Trophozoite,1.0,1749,380,1865,496
id_5gvjtx72rm.jpg,Trophozoite,1.0,2854,426,2991,563
id_4urj0kx8zk.jpg,Trophozoite,1.0,2077,2404,2183,2504
id_i7nitsscaw.jpg,Trophozoite,1.0,617,441,657,479
id_6ujuefpy4m.jpg,WBC,1.0,658,917,720,974
id_wtp7vfwf0j.jpg,Trophozoite,1.0,794,1305,832,1358
id_z0i61ad0tq.jpg,Trophozoite,1.0,895,770,937,802
id_r4f1nwo0bw.jpg,WBC,1.0,335,624,407,702
id_ndhdv3wuvg.jpg,Trophozoite,1.0,829,1084,863,1120
id_hxh24buc7k.jpg,WBC,1.0,8,1328,76,1417
id_z0i61ad0tq.jpg,Trophozoite,1.0,1021,698,1047,726
id_6wzmt4zao6.jpg,WBC,1.0,1971,2706,2119,2865
id_7fc9zyfy0e.jpg,Trophozoite,1.0,574,3723,705,3843
id_4fq8jiwxl0.jpg,WBC,1.0,1321,1136,1495,1342
id_p6jzeg98wl.jpg,WBC,1.0,66,728,149,792
id_3xidcn77dw.jpg,WBC,1.0,596,1347,662,1413
id_yzmpc6cgm1.jpg,WBC,1.0,1950,1205,2140,1364
id_u0ixesq8l0.jpg,WBC,1.0,930,1527,1115,1765
id_6g52lmvz2y.jpg,Trophozoite,1.0,225,1001,259,1033
id_jrppxrh1it.jpg,Trophozoite,1.0,366,732,403,763
id_unbxbat1t9.jpg,Trophozoite,1.0,520,1235,554,1280
id_jbjr0l6hyr.jpg,WBC,1.0,809,962,962,1105
id_kthpieuqnz.jpg,WBC,1.0,830,2785,1052,3007
id_jtsa3ltfpf.jpg,Trophozoite,1.0,61,1498,101,1534
id_1hbw0l10vq.jpg,Trophozoite,1.0,1091,3392,1182,3466
id_qk46xf80l5.jpg,Trophozoite,1.0,295,1124,340,1168
id_3xidcn77dw.jpg,WBC,1.0,579,288,653,350
id_qk46xf80l5.jpg,Trophozoite,1.0,293,798,333,830
id_c36hkm2atp.jpg,Trophozoite,1.0,543,690,571,715
id_by6e6shi2z.jpg,Trophozoite,1.0,263,327,291,353
id_fe3rxq4495.jpg,WBC,1.0,503,1687,554,1742
id_fe3rxq4495.jpg,WBC,1.0,910,872,993,940
id_147gpcegp6.jpg,Trophozoite,1.0,1848,2695,1952,2782
id_ctkvvkc84k.jpg,Trophozoite,1.0,140,974,189,1010
id_j0zahs4ik5.jpg,WBC,1.0,174,1727,244,1806
id_56cm3hgim3.jpg,Trophozoite,1.0,722,3023,842,3138
id_wh6zyryvik.jpg,Trophozoite,1.0,410,353,450,389
id_wc1se79we4.jpg,Trophozoite,1.0,683,889,710,918
id_ndhdv3wuvg.jpg,Trophozoite,1.0,397,333,431,363
id_chwvvxnmcm.jpg,WBC,1.0,611,885,672,947
id_beb4eptdn4.jpg,Trophozoite,1.0,987,579,1013,607
id_jcl0ug4fyq.jpg,NEG,1.0,0,0,0,0
id_qa70t0m4yc.jpg,WBC,1.0,2515,2283,2742,2447
id_rdosm01ejg.jpg,Trophozoite,1.0,57,823,95,859
id_o8uflrvo0d.jpg,NEG,1.0,0,0,0,0
id_i7nitsscaw.jpg,WBC,1.0,45,1283,121,1347
id_15rb0dgq66.jpg,Trophozoite,1.0,649,323,681,355
id_hfylgerf35.jpg,Trophozoite,1.0,1148,2039,1274,2143
id_sqou1jbe9f.jpg,Trophozoite,1.0,806,507,846,539
id_7yurhvqp72.jpg,WBC,1.0,301,1530,363,1600
id_ctkvvkc84k.jpg,WBC,1.0,335,1530,401,1583
id_bkc1sypwhe.jpg,Trophozoite,1.0,1363,2663,1469,2742
id_n5wa9hc0pz.jpg,WBC,1.0,1665,2748,1898,2986
id_z0i61ad0tq.jpg,Trophozoite,1.0,403,295,439,340
id_15rb0dgq66.jpg,Trophozoite,1.0,253,1576,283,1618
id_q18tfhfneh.jpg,WBC,1.0,166,312,230,367
id_ytq3slqkjm.jpg,Trophozoite,1.0,219,1570,255,1595
id_q18tfhfneh.jpg,WBC,1.0,187,1667,251,1728
id_jiv444vkig.jpg,NEG,1.0,0,0,0,0
id_jl93f5rtzc.jpg,Trophozoite,1.0,954,929,980,953
id_15rb0dgq66.jpg,Trophozoite,1.0,348,403,382,437
id_021o79u9zs.jpg,WBC,1.0,648,484,717,553
id_6x0d145kam.jpg,WBC,1.0,2658,1237,2832,1427
id_15rb0dgq66.jpg,Trophozoite,1.0,165,1737,199,1765
id_0o3fxfendl.jpg,Trophozoite,1.0,640,808,677,837
id_ilmjjeqpcy.jpg,Trophozoite,1.0,315,717,422,829
id_m2sb3vo43l.jpg,WBC,1.0,543,834,619,910
id_3ghwfhaubc.jpg,NEG,1.0,0,0,0,0
id_ndhdv3wuvg.jpg,Trophozoite,1.0,467,433,499,467
id_qicgns95fp.jpg,Trophozoite,1.0,382,769,421,808
id_ilmjjeqpcy.jpg,Trophozoite,1.0,999,2653,1084,2743
id_6sz7oo8vwz.jpg,WBC,1.0,127,1277,197,1362
id_ezd6x40fd0.jpg,Trophozoite,1.0,817,1216,851,1254
id_z0i61ad0tq.jpg,Trophozoite,1.0,749,1069,781,1097
id_zg9jc73sf7.jpg,Trophozoite,1.0,310,452,336,480
id_15rb0dgq66.jpg,Trophozoite,1.0,783,1580,836,1616
id_yapyoj4bmf.jpg,Trophozoite,1.0,978,2959,1078,3049
id_0vaw9rsiro.jpg,WBC,1.0,682,328,883,492
id_5i9ydbo42z.jpg,WBC,1.0,1733,761,1976,994
id_kbanzvtryi.jpg,WBC,1.0,576,2431,756,2627
id_r4f1nwo0bw.jpg,Trophozoite,1.0,253,821,279,844
id_7n0g3j6gzk.jpg,Trophozoite,1.0,183,1246,216,1270
id_gmjzttp90b.jpg,Trophozoite,1.0,1809,2662,1896,2799
id_4wkzpeu6or.jpg,Trophozoite,1.0,793,3313,936,3424
id_ermxdswvwt.jpg,Trophozoite,1.0,2500,2621,2606,2716
id_kmbd2zc1v6.jpg,NEG,1.0,0,0,0,0
id_zbnnf2a6el.jpg,WBC,1.0,89,1421,176,1514
id_ukfbjar9g0.jpg,Trophozoite,1.0,2438,1859,2547,1974
id_ilmjjeqpcy.jpg,WBC,1.0,1189,1490,1379,1654
id_5l5ws9o6mp.jpg,NEG,1.0,0,0,0,0
id_cvq4yybuzd.jpg,Trophozoite,1.0,1337,3218,1422,3297
id_7n0g3j6gzk.jpg,Trophozoite,1.0,746,548,774,583
id_imaqmpfpit.jpg,Trophozoite,1.0,1793,645,1908,760
id_kyre63f2tm.jpg,Trophozoite,1.0,1937,2025,2015,2106
id_wij48tbsif.jpg,Trophozoite,1.0,580,1881,661,1957
id_rdosm01ejg.jpg,Trophozoite,1.0,265,753,310,797
id_pvh4gi6u22.jpg,WBC,1.0,567,1082,631,1139
id_ilmjjeqpcy.jpg,Trophozoite,1.0,555,560,661,655
id_hfylgerf35.jpg,Trophozoite,1.0,2192,2372,2285,2476
id_irns9qz3vn.jpg,Trophozoite,1.0,607,877,640,906
id_r0ojbi6cqf.jpg,NEG,1.0,0,0,0,0
id_5i9ydbo42z.jpg,Trophozoite,1.0,782,925,877,1047
id_by6e6shi2z.jpg,Trophozoite,1.0,813,361,851,395
id_6wzmt4zao6.jpg,WBC,1.0,1702,285,1850,433
id_et97dmccl6.jpg,Trophozoite,1.0,2898,2419,2990,2511
id_taz7z5iuzk.jpg,WBC,1.0,857,944,931,1010
id_oxusm6wel3.jpg,Trophozoite,1.0,1823,2389,1955,2500
id_tn6qz4ng17.jpg,WBC,1.0,711,1564,772,1619
id_4wkzpeu6or.jpg,Trophozoite,1.0,856,2917,983,2991
id_yxd1bn2bnt.jpg,Trophozoite,1.0,753,1084,783,1110
id_z0i61ad0tq.jpg,Trophozoite,1.0,140,1190,176,1228
id_fe3rxq4495.jpg,WBC,1.0,995,874,1078,948
id_0o3fxfendl.jpg,WBC,1.0,639,392,688,445
id_wuxm97h01u.jpg,Trophozoite,1.0,1591,1367,1722,1487
id_6x0d145kam.jpg,Trophozoite,1.0,123,2757,210,2860
id_zg9jc73sf7.jpg,Trophozoite,1.0,161,566,189,598
id_jrppxrh1it.jpg,Trophozoite,1.0,139,1323,170,1352
id_ao5l6zdnzr.jpg,Trophozoite,1.0,1564,1934,1691,2056
id_5gvjtx72rm.jpg,Trophozoite,1.0,1290,1274,1449,1378
id_0o3fxfendl.jpg,Trophozoite,1.0,110,1047,145,1078
id_pb2ggni8kd.jpg,WBC,1.0,539,1390,615,1468
id_oxusm6wel3.jpg,WBC,1.0,2362,2563,2600,2811
id_iqbk27dlq8.jpg,Trophozoite,1.0,527,1568,552,1591
id_b6ud0c4mw4.jpg,Trophozoite,1.0,1950,2093,2077,2225
id_i7nitsscaw.jpg,WBC,1.0,1021,855,1076,919
id_qk46xf80l5.jpg,Trophozoite,1.0,679,1050,719,1092
id_8o4csfm34x.jpg,Trophozoite,1.0,1148,3444,1246,3553
id_68ro0e0zk7.jpg,Trophozoite,1.0,481,391,597,497
id_4cotsn0obm.jpg,WBC,1.0,384,1057,454,1127
id_zk5f24dvrh.jpg,WBC,1.0,571,914,641,971
id_fe3rxq4495.jpg,Trophozoite,1.0,477,265,503,299
id_jl93f5rtzc.jpg,WBC,1.0,335,1447,411,1528
id_r0s7z2xmit.jpg,NEG,1.0,0,0,0,0
id_qk46xf80l5.jpg,WBC,1.0,252,1144,316,1220
id_z0i61ad0tq.jpg,Trophozoite,1.0,79,437,113,471
id_yqktkut167.jpg,Trophozoite,1.0,1020,1041,1157,1168
id_3xidcn77dw.jpg,WBC,1.0,620,1197,681,1259
id_yzmpc6cgm1.jpg,WBC,1.0,2700,2906,2896,3070
id_ukfbjar9g0.jpg,Trophozoite,1.0,1405,2526,1520,2635
id_hfylgerf35.jpg,Trophozoite,1.0,1339,1596,1470,1711
id_15rb0dgq66.jpg,Trophozoite,1.0,320,1542,360,1574
id_ytq3slqkjm.jpg,Trophozoite,1.0,759,620,804,665
